time,values,geo,na_item
2005-01-01,12.2,DK,PriceETS
2005-04-01,18.11103448275862,DK,PriceETS
2005-07-01,23.16646153846154,DK,PriceETS
2005-10-01,21.779206349206348,DK,PriceETS
2006-01-01,25.507384615384616,DK,PriceETS
2006-04-01,18.444666666666667,DK,PriceETS
2006-07-01,15.661384615384616,DK,PriceETS
2006-10-01,9.423064516129031,DK,PriceETS
2007-01-01,2.0678125,DK,PriceETS
2007-04-01,0.38366666666666666,DK,PriceETS
2007-07-01,0.088,DK,PriceETS
2007-10-01,0.04836065573770492,DK,PriceETS
2008-01-01,1.7666129032258064,DK,PriceETS
2008-04-01,25.254603174603176,DK,PriceETS
2008-07-01,24.12272727272727,DK,PriceETS
2008-10-01,17.81639344262295,DK,PriceETS
2009-01-01,11.21968253968254,DK,PriceETS
2009-04-01,13.495333333333331,DK,PriceETS
2009-07-01,14.142424242424244,DK,PriceETS
2009-10-01,13.716666666666669,DK,PriceETS
2010-01-01,12.906825396825395,DK,PriceETS
2010-04-01,14.95967213114754,DK,PriceETS
2010-07-01,14.71560606060606,DK,PriceETS
2010-10-01,14.755625,DK,PriceETS
2011-01-01,14.898125,DK,PriceETS
2011-04-01,15.91672131147541,DK,PriceETS
2011-07-01,12.100757575757576,DK,PriceETS
2011-10-01,8.950793650793651,DK,PriceETS
2012-01-01,7.648,DK,PriceETS
2012-04-01,6.9046666666666665,DK,PriceETS
2012-07-01,7.572,DK,PriceETS
2012-10-01,7.368196721311476,DK,PriceETS
2013-01-01,4.660483870967742,DK,PriceETS
2013-04-01,3.870819672131147,DK,PriceETS
2013-07-01,4.6042424242424245,DK,PriceETS
2013-10-01,4.729508196721311,DK,PriceETS
2014-01-01,5.844285714285714,DK,PriceETS
2014-04-01,5.298064516129032,DK,PriceETS
2014-07-01,6.0643939393939394,DK,PriceETS
2014-10-01,6.583548387096775,DK,PriceETS
2015-01-01,7.005396825396826,DK,PriceETS
2015-04-01,7.340163934426229,DK,PriceETS
2015-07-01,7.966666666666667,DK,PriceETS
2015-10-01,8.391111111111112,DK,PriceETS
2016-01-01,5.612096774193549,DK,PriceETS
2016-04-01,5.751692307692307,DK,PriceETS
2016-07-01,4.547424242424243,DK,PriceETS
2016-10-01,5.51484375,DK,PriceETS
2017-01-01,5.155076923076923,DK,PriceETS
2017-04-01,4.805806451612903,DK,PriceETS
2017-07-01,5.893692307692308,DK,PriceETS
2017-10-01,7.462698412698413,DK,PriceETS
2018-01-01,9.766825396825396,DK,PriceETS
2018-04-01,14.473809523809525,DK,PriceETS
2018-07-01,18.809538461538462,DK,PriceETS
2018-10-01,20.205806451612904,DK,PriceETS
2019-01-01,22.09428571428571,DK,PriceETS
2019-04-01,25.45032258064516,DK,PriceETS
2019-07-01,26.901515151515152,DK,PriceETS
2019-10-01,24.82241935483871,DK,PriceETS
2020-01-01,22.745,DK,PriceETS
2020-04-01,21.239032258064515,DK,PriceETS
2020-07-01,27.35681818181818,DK,PriceETS
