observation_date,DCOILBRENTEU
1987-07-01,19.06
1987-10-01,17.87
1988-01-01,15.66
1988-04-01,16.13
1988-07-01,14.33
1988-10-01,13.57
1989-01-01,17.60
1989-04-01,18.83
1989-07-01,17.37
1989-10-01,19.13
1990-01-01,19.82
1990-04-01,16.01
1990-07-01,26.16
1990-10-01,32.64
1991-01-01,20.82
1991-04-01,18.87
1991-07-01,19.87
1991-10-01,20.63
1992-01-01,17.95
1992-04-01,20.01
1992-07-01,20.09
1992-10-01,19.22
1993-01-01,18.24
1993-04-01,18.25
1993-07-01,16.49
1993-10-01,15.18
1994-01-01,13.96
1994-04-01,16.10
1994-07-01,16.78
1994-10-01,16.56
1995-01-01,16.89
1995-04-01,18.07
1995-07-01,16.21
1995-10-01,16.92
1996-01-01,18.56
1996-04-01,19.50
1996-07-01,20.86
1996-10-01,23.58
1997-01-01,21.22
1997-04-01,18.05
1997-07-01,18.51
1997-10-01,18.76
1998-01-01,14.10
1998-04-01,13.31
1998-07-01,12.46
1998-10-01,11.21
1999-01-01,11.37
1999-04-01,15.48
1999-07-01,20.64
1999-10-01,23.98
2000-01-01,26.96
2000-04-01,27.01
2000-07-01,30.66
2000-10-01,29.92
2001-01-01,25.82
2001-04-01,27.29
2001-07-01,25.30
2001-10-01,19.40
2002-01-01,21.12
2002-04-01,25.11
2002-07-01,26.89
2002-10-01,26.74
2003-01-01,31.50
2003-04-01,26.17
2003-07-01,28.43
2003-10-01,29.41
2004-01-01,31.99
2004-04-01,35.41
2004-07-01,41.39
2004-10-01,44.01
2005-01-01,47.87
2005-04-01,51.62
2005-07-01,61.57
2005-10-01,56.85
2006-01-01,61.79
2006-04-01,69.49
2006-07-01,69.73
2006-10-01,59.55
2007-01-01,57.84
2007-04-01,68.59
2007-07-01,74.75
2007-10-01,88.29
2008-01-01,96.86
2008-04-01,121.20
2008-07-01,114.69
2008-10-01,55.03
2009-01-01,44.52
2009-04-01,58.88
2009-07-01,68.14
2009-10-01,74.57
2010-01-01,76.42
2010-04-01,78.49
2010-07-01,76.82
2010-10-01,86.54
2011-01-01,105.45
2011-04-01,117.01
2011-07-01,113.24
2011-10-01,109.42
2012-01-01,118.71
2012-04-01,107.75
2012-07-01,109.63
2012-10-01,110.15
2013-01-01,112.44
2013-04-01,102.56
2013-07-01,110.23
2013-10-01,109.23
2014-01-01,108.14
2014-04-01,109.69
2014-07-01,101.90
2014-10-01,76.43
2015-01-01,53.98
2015-04-01,61.65
2015-07-01,50.44
2015-10-01,43.56
2016-01-01,33.84
2016-04-01,45.57
2016-07-01,45.80
2016-10-01,49.05
2017-01-01,53.59
2017-04-01,49.55
2017-07-01,52.10
2017-10-01,61.40
2018-01-01,66.86
2018-04-01,74.53
2018-07-01,75.07
2018-10-01,68.76
2019-01-01,63.10
2019-04-01,69.04
2019-07-01,61.95
2019-10-01,63.27
2020-01-01,50.27
2020-04-01,29.70
2020-07-01,42.91
2020-10-01,44.32
2021-01-01,61.04
2021-04-01,68.98
2021-07-01,73.51
2021-10-01,79.61
2022-01-01,100.87
2022-04-01,113.84
2022-07-01,100.71
2022-10-01,88.72
2023-01-01,81.07
2023-04-01,77.99
2023-07-01,86.65
2023-10-01,84.01
2024-01-01,82.92
2024-04-01,84.68
2024-07-01,80.01
2024-10-01,74.66
